siblings,height07,height16,height33,gwage33,momed,daded,LogWage33,female
2,49.015743,68.897636,70.078743,8.333333,10.5,10.5,2.1202636,0
3,49.015743,70.472443,71.259842,7.2972975,9.5,8.5,1.9875041,0
3,47.992119,60.629921,63.779526,7.3167567,11.5,9.5,1.9901671,1
6,47.992119,66.141708,69.685036,5.5,9.5,,1.704748,0
6,,,70.078743,5.4615383,,,1.6977305,0
4,,66.141708,66.535431,6.2432432,11.5,9.5,1.8314998,0
6,49.015743,64.173195,71.259842,8.2236843,9.5,,2.1070182,0
5,,71.653534,74.409447,11.351352,10.5,10.5,2.4293368,0
4,49.999981,66.929123,68.110237,.125,10.5,10.5,-2.0794415,0
,,70.078728,70.866142,7.7837839,6,9.5,2.0520425,0
5,49.015743,65.354324,68.110237,8,,,2.0794415,0
5,49.015743,63.779522,64.173225,3.0999999,9.5,9.5,1.1314021,1
4,47.992119,64.173195,65.354332,16.216217,9.5,9.5,2.7860117,0
5,52.992115,,68.897636,4.2315788,,,1.4425752,1
8,49.999981,65.747993,70.078743,6.5999999,9.5,9.5,1.8870696,0
5,47.007847,,68.897636,8.5714283,,,2.1484344,0
5,50.984219,65.747993,68.503937,5.4054055,9.5,9.5,1.6873995,0
4,49.015743,64.960617,64.960632,11.574074,19,17,2.4487677,1
,47.992119,,68.110237,6,,,1.7917595,0
,,,71.653542,10,,,2.3025851,0
3,49.999981,70.078728,74.015747,6.5454545,10.5,10.5,1.8787708,0
5,47.992119,68.897636,72.047241,90,10.5,9.5,4.4998097,0
3,47.992119,61.417301,67.716537,5.319149,11.5,9.5,1.6713133,0
6,,,68.897636,4.6666665,,,1.540445,0
3,52.007839,,72.440948,3.175,,,1.1553077,0
3,47.992119,65.354324,67.322838,8.2285719,12.5,9.5,2.1076124,0
3,,66.141708,68.897636,6.590909,9.5,9.5,1.8856913,0
6,47.992119,64.566902,64.960632,3.9487178,9.5,9.5,1.3733909,1
4,50.984219,68.503929,68.503937,5.4545455,12.5,11.5,1.6964493,0
,49.015743,62.20472,69.291336,6.1363635,9.5,9.5,1.8142323,0
,57.007874,67.3228,71.653542,6,,,1.7917595,0
4,45.984222,64.173195,67.716537,3.4285715,9.5,9.5,1.2321436,0
,44.999985,,70.866142,11.282051,10.5,9.5,2.423213,0
3,49.999981,,71.653542,6.1111112,,,1.8101087,0
3,49.015743,67.3228,70.078743,8.8888893,,,2.1848021,0
3,47.007847,66.929123,70.078743,8.3999996,10.5,9.5,2.1282318,0
3,49.999981,71.259819,72.834648,3,9.5,11.5,1.0986123,0
3,49.015743,67.3228,71.259842,7.0270271,10.5,11.5,1.9497638,0
2,,,72.440948,6.4864864,,,1.8697211,0
3,,,71.259842,5,10.5,9.5,1.6094379,0
,,,66.141731,3.5135136,,,1.2566166,1
2,50.984219,68.897636,72.440948,3.208421,9.5,9.5,1.1657789,0
5,47.992119,62.992104,64.960632,6.25,10.5,10.5,1.8325815,1
3,44.015713,59.842499,66.141731,4.8000002,10.5,10.5,1.5686159,0
3,,65.747993,66.929131,6.96,,,1.9401795,0
2,52.007839,,71.653542,8.0952377,,,2.0912759,0
3,52.007839,70.472443,70.472443,8.75,12.5,11.5,2.1690538,0
2,45.984222,61.811012,62.992126,10.101334,,,2.3126674,1
4,49.999981,69.68502,70.866142,5.0769229,10.5,10.5,1.6247053,0
5,47.992119,62.20472,63.385826,8.2857141,10.5,11.5,2.1145329,1
3,50.984219,72.44091,73.228348,6.1894736,,,1.82285,0
3,49.999981,66.141708,67.322838,8.5,10.5,10.5,2.1400661,1
2,,65.747993,66.141731,9.7297297,,,2.2751861,1
,47.992119,70.078728,72.440948,18.666666,12.5,11.5,2.9267395,0
3,47.992119,67.3228,68.110237,9.7674417,10.5,9.5,2.2790546,0
4,47.007847,64.173195,66.141731,8.8000002,11.5,9.5,2.1747518,0
,47.007847,,68.503937,4.0540543,10.5,9.5,1.3997175,0
2,49.015743,67.3228,70.472443,10.857142,11.5,11.5,2.3848231,0
3,45.984222,62.992104,67.716537,15.714286,9.5,9.5,2.7545702,0
,,64.566902,67.716537,4.5,10.5,11.5,1.5040774,0
4,44.999985,64.173195,65.354332,4.2063155,15,17,1.4365871,1
3,49.015743,67.3228,69.291336,72,9.5,9.5,4.2766662,0
8,44.999985,,67.716537,4.4615383,,,1.4954937,0
5,47.992119,,66.535431,4,,,1.3862944,1
6,49.999981,,62.204723,5,10.5,10.5,1.6094379,1
3,44.999985,61.023594,64.960632,6,9.5,9.5,1.7917595,0
2,45.984222,66.535416,67.322838,4.7916665,10.5,12.5,1.5668783,0
6,49.999981,,67.322838,7.5,,,2.0149031,1
3,47.992119,66.929123,72.834648,10.222222,10.5,10.5,2.324564,0
4,,62.20472,70.078743,8.6000004,9.5,9.5,2.1517622,0
4,47.007847,,40.944881,4.8000002,,,1.5686159,1
5,44.015713,58.2677,59.055119,4.3333335,9.5,9.5,1.4663371,1
5,47.992119,69.68502,70.866142,9.5555553,12.5,12.5,2.2571228,0
5,47.007847,65.747993,66.141731,12.8,,,2.5494452,0
4,47.007847,65.354324,66.929131,4.8888888,10.5,9.5,1.5869651,0
6,49.015743,65.354324,66.535431,3.2941177,10.5,10.5,1.1921383,1
3,49.999981,65.354324,65.354332,7.2480001,11.5,12.5,1.9807256,1
3,52.992115,,72.834648,6.3272729,10.5,9.5,1.8448694,0
3,45.984222,63.779522,65.748032,3.3,9.5,9.5,1.1939224,0
4,,63.779522,64.173225,11.777778,,,2.4662144,1
,,,64.566933,3.5999999,,,1.2809339,1
,44.015713,,65.354332,3.05,,,1.1151416,0
5,45.984222,64.960617,66.929131,4.3636365,10.5,10.5,1.4733058,0
5,49.015743,,72.440948,7.0378375,9.5,9.5,1.951301,0
,45.984222,65.747993,68.897636,4.5641026,9.5,10.5,1.518222,0
3,49.999981,,65.354332,6.3157897,,,1.8430527,1
4,,65.354324,68.897636,4.3333335,,,1.4663371,0
2,50.984219,70.866112,72.047241,10.56,9.5,9.5,2.3570733,0
,,,65.354332,2.8974359,,,1.0638262,1
2,52.007839,70.078728,71.653542,9.2351999,9.5,9.5,2.2230222,0
9,45.984222,,67.716537,5,9.5,9.5,1.6094379,0
5,49.015743,,71.653542,5.6944447,,,1.7394911,0
4,44.999985,59.448792,65.354332,5.3125,10.5,9.5,1.6700625,0
4,47.992119,62.20472,62.992126,9.7297297,,,2.2751861,1
4,47.007847,66.929123,71.259842,7.1999998,9.5,9.5,1.974081,0
7,49.015743,69.291313,70.866142,4.375,9.5,9.5,1.4759065,0
6,47.992119,62.992104,63.385826,4.0769229,10.5,10.5,1.4053425,1
7,45.984222,65.354324,67.716537,2.5454545,9.5,9.5,.93430924,0
5,49.015743,,68.503937,4.4102564,,,1.4839329,0
6,47.992119,66.535416,71.653542,9.166667,10.5,9.5,2.2155738,0
3,49.015743,67.3228,67.716537,7.3257141,11.5,10.5,1.9913906,0
6,,63.385815,72.047241,2.5,,,.91629076,0
4,49.999981,67.3228,71.259842,10.2,9.5,9.5,2.3223877,0
,47.992119,,68.503937,5.1999998,,,1.6486586,0
11,50.984219,,72.047241,6.4000001,9.5,9.5,1.856298,0
11,45.984222,,66.535431,3.75,9.5,9.5,1.3217559,0
3,47.992119,65.354324,72.047241,8.75,9.5,11.5,2.1690538,0
5,44.999985,61.417301,62.204723,4,9.5,9.5,1.3862944,1
3,49.015743,,70.866142,4,9.5,9.5,1.3862944,0
4,,67.3228,67.716537,6.3720002,12.5,12.5,1.8519135,1
3,49.015743,66.929123,69.291336,8.152174,9.5,9.5,2.0982847,0
3,52.992115,72.834625,73.622047,6.2399998,,,1.8309802,0
5,47.007847,,68.110237,7.1428571,,,1.9661129,0
5,44.015713,,63.779526,6.5116277,9.5,9.5,1.8735894,0
5,44.999985,,63.779526,4.4594593,9.5,9.5,1.4950275,1
2,52.992115,,77.165352,5.4000001,,,1.686399,0
3,45.984222,,65.748032,4.5454545,,,1.5141277,0
3,47.992119,,69.291336,3.9534883,9.5,9.5,1.3745983,0
7,47.007847,65.354324,67.322838,4.3913045,9.5,9.5,1.4796263,0
2,,66.929123,69.685036,4.8000002,10.5,13.5,1.5686159,0
3,49.999981,,68.503937,4.092308,10.5,10.5,1.4091091,0
,49.999981,,72.047241,6.7692308,,,1.9123875,0
,50.984219,,66.535431,15.333333,,,2.7300291,1
4,50.984219,66.929123,67.716537,7.2380953,12.5,11.5,1.9793581,1
5,47.992119,66.929123,68.503937,3.1132076,9.5,9.5,1.1356536,0
,47.992119,,69.291336,6.5384617,10.5,10.5,1.8777019,0
3,,67.716507,69.685036,17.75,,,2.8763855,0
5,,,67.716537,6.4893618,,,1.8701642,0
4,44.999985,65.747993,66.929131,7.7142859,9.5,9.5,2.0430739,0
9,39.999992,60.23621,64.566933,5,9.5,9.5,1.6094379,0
3,45.984222,61.417301,64.566933,14.4,11.5,10.5,2.6672282,0
,,64.173195,66.535431,8.8000002,10.5,10.5,2.1747518,0
2,,62.20472,64.960632,5.9512196,9.5,9.5,1.7835962,0
2,47.992119,66.141708,67.716537,5.7229729,,,1.7444884,0
,47.007847,62.992104,64.566933,4.8000002,,,1.5686159,1
,49.015743,,67.716537,8.4266663,,,2.1314013,0
,,,62.992126,4,,,1.3862944,1
4,,64.960617,65.748032,8,10.5,10.5,2.0794415,0
4,49.015743,,72.047241,8.8888893,,,2.1848021,0
3,47.992119,,71.259842,4.7368422,,,1.5553707,0
4,52.007839,72.047241,72.047241,4.2553191,,,1.4481697,0
3,49.999981,70.866112,73.228348,9.1999998,10.5,11.5,2.2192035,0
4,45.984222,62.992104,69.291336,9.7142859,9.5,9.5,2.2735975,0
3,45.984222,,67.716537,5,9.5,9.5,1.6094379,0
4,47.992119,61.811012,66.535431,5.4871793,10.5,12.5,1.7024143,0
3,49.015743,66.929123,68.897636,11.956522,,,2.481277,0
3,49.999981,64.173195,65.354332,5.0250001,17,9.5,1.6144254,1
4,50.984219,,77.952759,5.1282053,,,1.6347557,0
5,47.992119,67.716507,70.866142,5.5227275,11.5,17,1.7088718,0
4,47.992119,,69.685036,6,10.5,10.5,1.7917595,0
,47.992119,,66.929131,9.257143,,,2.2253954,1
5,49.015743,68.110222,70.866142,9.7222223,10.5,10.5,2.2744143,0
,47.992119,,62.992126,.97297299,12.5,19,-.027398957,1
7,,62.992104,70.078743,5.75,9.5,9.5,1.7491999,0
6,45.984222,,67.322838,4.8717947,,,1.5834624,0
5,49.999981,66.535416,67.322838,2.9411764,11.5,11.5,1.0788096,1
7,49.015743,65.354324,66.929131,8.2702703,,,2.1126671,0
2,49.999981,66.141708,72.834648,8.6499996,9.5,10.5,2.1575594,0
3,49.999981,63.779522,64.566933,3.5999999,,,1.2809339,1
2,50.984219,70.866112,74.015747,8.625,9.5,11.5,2.154665,0
2,50.984219,65.747993,66.535431,5.9210525,9.5,11.5,1.7785143,0
2,47.992119,,68.503937,5.0666666,,,1.6226832,0
3,49.999981,66.929123,68.897636,7.8486485,10.5,12.5,2.0603414,0
5,52.007839,,71.653542,8.5,,,2.1400661,0
1,52.992115,62.992104,64.173225,3.75,10.5,9.5,1.3217559,1
4,47.007847,60.629921,67.716537,5.4615383,9.5,9.5,1.6977305,0
6,47.992119,61.811012,69.685036,6.0540543,11.5,9.5,1.8007282,0
6,42.992088,,66.535431,5.4102564,9.5,9.5,1.6882964,0
3,49.999981,,66.929131,6,,,1.7917595,1
5,45.984222,,66.141731,5.4545455,,,1.6964493,0
,,,70.078743,6.5116277,,,1.8735894,0
,49.015743,70.078728,72.834648,7.2162161,10.5,10.5,1.9763308,0
,,,70.472443,6.6666665,,,1.89712,0
,,,69.685036,5.4285712,,,1.691676,0
3,49.015743,,66.929131,7.75,9.5,9.5,2.0476928,1
3,44.999985,64.566902,68.110237,8.4102564,9.5,9.5,2.129452,0
3,45.984222,63.385815,65.748032,7.1999998,10.5,10.5,1.974081,0
6,50.984219,,72.834648,6.7692308,,,1.9123875,0
2,49.015743,72.834625,74.803146,7.75,9.5,6,2.0476928,0
3,47.007847,61.023594,70.472443,11.904762,,,2.4769385,0
4,47.007847,,62.204723,2.8114285,,,1.0336927,1
4,49.999981,68.503929,70.866142,11.6,9.5,9.5,2.4510052,0
4,49.999981,68.110222,72.834648,5.04,,,1.6174061,0
3,49.015743,64.960617,66.929131,6.8571429,12.5,9.5,1.9252908,1
6,47.992119,64.173195,68.897636,3.4545455,11.5,9.5,1.2396909,0
5,49.015743,68.897636,70.078743,4.8717947,10.5,9.5,1.5834624,0
2,50.984219,69.68502,73.228348,7.6923075,9.5,9.5,2.0402207,0
4,45.984222,64.566902,66.141731,8.636364,11.5,11.5,2.1559815,0
7,47.992119,66.141708,67.322838,7.8000002,11.5,9.5,2.0541236,0
,47.992119,63.385815,64.960632,143.75,,,4.9680758,1
4,47.007847,66.929123,68.897636,5.3333335,9.5,9.5,1.6739764,0
7,44.999985,,68.897636,5.9459457,,,1.7827096,0
,52.007839,69.291313,71.653542,11.245714,,,2.4199872,0
3,47.992119,,70.472443,4.8716216,,,1.5834268,0
4,49.015743,67.716507,68.897636,10.794118,9.5,8.5,2.3790014,0
4,50.984219,71.653534,77.165352,12.432432,,,2.5203085,0
7,49.015743,68.110222,71.259842,4.1025643,9.5,9.5,1.4116123,0
3,50.984219,69.291313,70.866142,7.4400001,9.5,9.5,2.0068707,0
5,,,70.472443,4.3776002,,,1.4765006,0
2,47.992119,64.960617,65.748032,5.6914287,9.5,12.5,1.7389613,1
,50.984219,,64.566933,3.1428571,,,1.1451323,1
4,49.999981,,70.866142,7.4000001,11.5,11.5,2.0014801,0
3,47.992119,62.992104,63.779526,8.2231579,11.5,10.5,2.1069543,1
,49.015743,68.110222,70.866142,5.681818,,,1.7372713,0
,50.984219,68.110222,68.897636,15.243243,,,2.7241364,0
2,44.015713,,61.023621,5.5135136,,,1.7072021,1
2,49.999981,71.653534,73.228348,6.3333335,,,1.8458267,0
3,,66.141708,66.535431,5.3485713,,,1.6768295,1
4,47.992119,70.078728,70.472443,1.6279069,9.5,9.5,.48729509,0
,47.007847,,62.204723,6,,,1.7917595,1
3,,71.259819,73.228348,11.111111,,,2.4079456,0
4,49.999981,66.929123,68.503937,9.8999996,10.5,9.5,2.2925348,0
5,47.007847,65.354324,69.291336,9.666667,10.5,9.5,2.2686837,0
3,47.007847,,63.385826,3.3984001,13.5,10.5,1.2233047,1
,45.984222,64.960617,65.748032,5.25,10.5,10.5,1.658228,0
2,45.984222,,61.417324,10.685715,11.5,10.5,2.3689077,1
2,54.015739,70.866112,71.653542,6.0810809,9.5,9.5,1.8051825,1
3,52.007839,66.929123,67.322838,8.9189186,9.5,9.5,2.1881747,1
4,,,62.992126,4.875,,,1.5841202,1
4,47.992119,68.897636,71.259842,5.6999998,9.5,9.5,1.7404661,0
6,,64.173195,64.960632,4.8000002,,,1.5686159,0
3,44.015713,,60.629921,4.6666665,17,9.5,1.540445,1
3,47.992119,62.598392,64.566933,9.84375,9.5,9.5,2.2868366,1
4,49.015743,70.078728,70.866142,72.300003,9.5,9.5,4.2808242,0
3,49.015743,66.929123,68.503937,8.9485722,10.5,11.5,2.191494,1
3,,70.472443,71.653542,10.833333,,,2.3826277,0
3,49.999981,68.110222,68.897636,7.6829267,9.5,9.5,2.0390005,0
,50.984219,70.866112,72.047241,6,9.5,9.5,1.7917595,0
3,47.007847,66.141708,68.897636,10.222222,9.5,13.5,2.324564,0
3,47.992119,,68.110237,3.5999999,9.5,9.5,1.2809339,0
3,49.015743,65.354324,66.535431,6.25,10.5,9.5,1.8325815,1
4,47.007847,62.20472,62.992126,6.1538463,,,1.8170773,1
5,49.015743,63.779522,65.354332,5.7948718,12.5,11.5,1.7569734,1
6,49.999981,70.078728,70.866142,3.8461537,10.5,10.5,1.3470737,0
3,47.992119,,70.078743,4.4210525,9.5,11.5,1.4863778,0
,44.999985,,62.598427,5.9675674,,,1.7863394,1
3,47.992119,66.535416,67.716537,7.5333333,11.5,9.5,2.0193377,0
6,47.992119,63.385815,64.960632,5.4092307,9.5,9.5,1.6881069,1
,,,70.866142,2.7,,,.9932518,0
4,,70.078728,70.078743,8,9.5,9.5,2.0794415,0
3,50.984219,68.110222,72.047241,8.6400003,9.5,9.5,2.1564026,0
4,50.984219,67.3228,70.078743,6.4864864,13.5,12.5,1.8697211,1
4,49.015743,68.897636,70.472443,24,13.5,13.5,3.1780539,0
3,47.992119,64.960617,70.078743,6,9.5,9.5,1.7917595,0
4,47.007847,64.566902,67.322838,3.891892,9.5,9.5,1.3588954,0
3,49.999981,68.897636,70.866142,4.4897957,9.5,9.5,1.5018072,0
3,,68.897636,70.866142,9.4594593,9.5,9.5,2.2470152,0
7,47.992119,68.110222,68.897636,5.0263157,9.5,9.5,1.6146872,0
5,49.015743,68.897636,70.078743,6,9.5,9.5,1.7917595,0
4,47.992119,62.598392,62.992126,6.1621623,10.5,9.5,1.8184277,1
2,52.992115,72.44091,73.228348,6.9268293,9.5,9.5,1.9354022,0
5,47.007847,62.992104,63.779526,5.2444444,9.5,9.5,1.6571693,1
3,47.992119,63.385815,64.566933,15,10.5,10.5,2.7080503,1
4,52.992115,,69.291336,6.8571429,10.5,9.5,1.9252908,1
4,47.992119,67.716507,70.866142,4.8717947,9.5,9.5,1.5834624,0
,49.015743,,68.503937,12.4,,,2.5176964,0
3,47.992119,,62.204723,5.2682929,9.5,9.5,1.6617063,1
3,49.999981,,72.834648,17.435898,17,19,2.8585312,0
9,,67.3228,67.716537,4.1346154,10.5,10.5,1.4193944,0
4,49.999981,63.385815,68.503937,5.1282053,10.5,11.5,1.6347557,0
6,47.992119,64.960617,66.141731,6.3157897,11.5,9.5,1.8430527,1
,50.984219,72.047241,72.440948,5,8.5,9.5,1.6094379,0
4,45.984222,61.811012,61.811024,8.7524996,9.5,11.5,2.1693394,1
5,47.992119,67.3228,69.685036,4.9857144,10.5,10.5,1.6065767,0
3,47.992119,66.929123,68.897636,7.6666665,9.5,9.5,2.0368819,0
4,,,63.779526,3.7297297,9.5,10.5,1.3163358,1
,,66.929123,67.716537,6.7073169,9.5,9.5,1.903199,0
6,,64.173195,64.960632,2.8333333,9.5,9.5,1.0414538,1
2,47.992119,65.354324,68.503937,5.6896553,9.5,9.5,1.7386497,0
5,44.999985,66.141708,68.110237,2.183908,10.5,9.5,.78111595,0
5,45.984222,59.448792,60.629921,7.8947368,9.5,9.5,2.0661962,1
3,50.984219,68.503929,71.653542,8.6400003,12.5,11.5,2.1564026,0
4,49.999981,67.3228,68.110237,7.1794872,11.5,9.5,1.971228,0
7,47.992119,,72.440948,4.1666665,,,1.4271163,0
3,47.007847,66.141708,68.897636,7.7574997,10.5,11.5,2.04866,0
3,49.999981,67.3228,68.503937,4.6702704,11.5,19,1.541217,1
3,52.007839,72.44091,73.622047,5.6756759,9.5,9.5,1.7361896,0
5,50.984219,,72.047241,4.3461537,9.5,8.5,1.4692912,0
3,47.992119,64.173195,70.078743,7.1999998,9.5,9.5,1.974081,0
6,47.007847,61.417301,62.598427,8.2285719,,,2.1076124,1
5,47.007847,,68.897636,5.8461537,9.5,9.5,1.7657839,0
3,47.992119,,70.078743,5.98,9.5,9.5,1.7884206,0
3,47.992119,,70.866142,7,,,1.9459101,0
6,47.007847,,59.448818,3.8545454,,,1.3492531,1
2,49.015743,61.811012,62.204723,6.8571429,9.5,11.5,1.9252908,1
3,,62.992104,62.992126,6.8221622,9.5,9.5,1.9201765,1
4,50.984219,65.354324,67.322838,8.6206894,9.5,9.5,2.154165,0
7,52.992115,68.897636,70.866142,4.7368422,9.5,9.5,1.5553707,0
,50.984219,68.110222,70.472443,6.6666665,,9.5,1.89712,0
2,50.984219,,70.472443,5.2926831,,,1.6663253,0
,54.015739,,74.409447,5.1282053,,,1.6347557,0
3,45.984222,72.047241,73.622047,9,9.5,9.5,2.1972246,0
,47.007847,63.385815,67.322838,7.3170733,,,1.9902104,0
4,49.999981,62.992104,63.779526,3.2857144,9.5,9.5,1.1895841,1
5,,60.23621,61.023621,8.6999998,10.5,,2.1633229,1
5,52.992115,,68.897636,6.4864864,9.5,9.5,1.8697211,0
,52.007839,64.960617,64.960632,2.5777779,9.5,,.94692773,1
,47.007847,61.023594,67.322838,10.27027,9.5,9.5,2.3292534,0
3,49.015743,,59.842518,6.1353846,,,1.8140727,1
3,47.992119,60.629921,61.023621,4.680851,10.5,9.5,1.5434799,1
,47.992119,64.960617,66.929131,3.6153846,9.5,9.5,1.2851982,0
2,54.015739,70.472443,74.015747,10,9.5,9.5,2.3025851,0
,,69.68502,72.440948,7.5789475,9.5,11.5,2.0253744,0
,50.984219,62.992104,63.779526,6.3157897,9.5,9.5,1.8430527,1
4,,65.354324,66.929131,10.5,9.5,17,2.3513753,1
3,,67.716507,68.503937,10.316667,11.5,15,2.3337607,0
,52.992115,70.472443,72.440948,5.5768418,12.5,11.5,1.7186227,0
,54.999973,72.047241,75.984253,9.2105265,9.5,9.5,2.2203469,0
,50.984219,,70.866142,6.9473686,,,1.938363,0
4,,71.653534,72.440948,6,11.5,11.5,1.7917595,0
5,52.007839,69.291313,70.078743,7,10.5,10.5,1.9459101,0
,49.999981,67.3228,69.291336,5.4545455,9.5,9.5,1.6964493,0
,50.984219,62.992104,64.960632,3.75,9.5,11.5,1.3217559,0
,52.007839,68.897636,70.078743,4.6428571,,,1.5353299,0
4,47.992119,58.661407,60.236221,3.0940542,11.5,10.5,1.1294823,1
,52.007839,66.141708,68.110237,6.4926314,,,1.8706679,0
3,49.015743,61.417301,67.716537,10,9.5,9.5,2.3025851,0
4,52.007839,66.141708,73.228348,8.9189186,12.5,9.5,2.1881747,0
,49.999981,,68.897636,6.6666665,,,1.89712,0
3,,61.811012,70.472443,14.88,,,2.7000179,0
3,52.992115,66.929123,75.984253,4.3333335,9.5,9.5,1.4663371,0
3,44.999985,,68.503937,11,12.5,12.5,2.3978953,0
3,,,70.472443,8.8461542,,,2.1799829,0
4,49.015743,66.929123,68.897636,5.7600002,10.5,10.5,1.7509375,0
,47.007847,,66.141731,12.361111,,,2.5145552,0
3,49.999981,72.047241,74.409447,10,10.5,9.5,2.3025851,0
4,44.999985,64.566902,66.141731,5.2363634,10.5,9.5,1.6556273,0
,,67.3228,68.503937,14.666667,10.5,19,2.6855774,0
3,49.015743,66.929123,69.291336,6.4864864,10.5,9.5,1.8697211,0
,49.015743,67.3228,69.685036,6.4000001,17,19,1.856298,0
5,50.984219,68.110222,70.078743,11.428572,11.5,19,2.4361165,0
4,,68.897636,70.078743,7.75,9.5,9.5,2.0476928,0
,54.015739,61.023594,61.417324,5.625,10.5,9.5,1.7272209,1
,49.015743,,66.929131,5.6410255,,,1.7300659,0
6,52.007839,67.716507,70.472443,6,9.5,9.5,1.7917595,0
5,47.992119,62.598392,67.716537,7.257143,11.5,9.5,1.9819863,0
4,50.984219,70.078728,74.015747,6.9166665,9.5,9.5,1.933934,0
5,52.007839,69.68502,73.228348,3.025641,10.5,9.5,1.107123,0
2,47.992119,66.141708,66.929131,4.9000001,9.5,9.5,1.5892352,0
5,47.007847,,72.047241,5.1668,,,1.6422535,0
3,47.992119,,70.866142,6.4000001,9.5,9.5,1.856298,0
3,47.992119,66.141708,68.110237,8.2972975,10.5,11.5,2.1159298,0
7,47.992119,,70.866142,8.8000002,,,2.1747518,0
3,49.999981,72.834625,73.228348,9.1428576,10.5,9.5,2.2129729,0
4,47.007847,66.929123,70.078743,8.25,9.5,10.5,2.1102133,0
,49.015743,69.68502,72.834648,5.1282053,,,1.6347557,0
,45.984222,60.23621,61.023621,9.0810814,,,2.2061932,1
2,49.015743,70.866112,71.653542,8.1632433,,,2.0996416,0
4,47.007847,,64.173225,5.8333335,,,1.7635887,0
,,,64.173225,12.082,,,2.4917166,1
4,50.984219,67.716507,70.078743,13.333333,10.5,9.5,2.5902672,0
8,49.999981,,70.078743,8.75,9.5,9.5,2.1690538,0
5,50.984219,66.141708,68.897636,6.3000002,11.5,10.5,1.8405497,0
4,50.984219,66.535416,68.897636,7.8000002,9.5,9.5,2.0541236,0
7,49.015743,,67.716537,7.3010526,,,1.9880185,0
,,68.110222,68.503937,9.1836739,9.5,9.5,2.2174273,0
5,54.015739,68.897636,70.866142,8.3999996,10.5,9.5,2.1282318,0
5,49.999981,66.141708,66.929131,8.3999996,9.5,9.5,2.1282318,0
,49.999981,,70.078743,6.96,9.5,9.5,1.9401795,0
4,47.992119,66.141708,67.322838,8.333333,9.5,9.5,2.1202636,0
3,50.984219,68.110222,71.259842,4,9.5,9.5,1.3862944,0
6,,66.929123,68.503937,5.4054055,9.5,9.5,1.6873995,0
3,,66.141708,70.472443,12,12.5,9.5,2.4849067,0
,54.015739,66.929123,67.716537,5.189189,10.5,13.5,1.6465774,1
3,50.984219,66.929123,68.897636,9.4594593,9.5,9.5,2.2470152,0
,,62.20472,64.173225,4.6666665,10.5,11.5,1.540445,1
4,52.992115,,72.440948,7.1052632,,,1.9608358,0
3,52.992115,,70.866142,4.1999998,,,1.4350845,0
3,47.992119,64.960617,65.748032,7.1999998,10.5,10.5,1.974081,1
3,47.992119,,71.653542,4.5,,,1.5040774,0
,47.992119,,66.929131,4.2307692,9.5,9.5,1.4423838,0
4,54.015739,66.535416,67.322838,4.7619047,9.5,9.5,1.5606477,1
4,52.007839,68.897636,69.291336,6.25,9.5,9.5,1.8325815,0
4,,,66.929131,3.75,,,1.3217559,0
3,49.015743,69.68502,70.472443,14.797714,9.5,10.5,2.6944728,0
3,,64.566902,66.929131,4.625,9.5,9.5,1.5314764,0
4,50.984219,68.897636,73.622047,6.7111111,9.5,11.5,1.9037645,0
4,52.992115,70.472443,74.015747,5.6410255,10.5,11.5,1.7300659,0
,47.007847,59.055119,59.055119,6.1919999,9.5,9.5,1.8232582,1
,49.999981,,66.141731,3.2091429,,,1.1660039,1
6,,64.566902,68.110237,5.7692308,10.5,6,1.7525388,0
4,45.984222,,67.716537,9.7297297,9.5,9.5,2.2751861,0
5,,66.141708,67.322838,6.0631576,10.5,10.5,1.8022307,0
2,50.984219,,71.259842,30,,,3.4011974,0
,49.999981,,61.811024,3.3333333,,,1.2039728,1
5,49.999981,66.141708,67.716537,7.4468083,9.5,9.5,2.0077856,0
3,50.984219,68.897636,70.078743,8.6057148,10.5,13.5,2.1524265,0
,52.007839,,64.173225,4,10.5,9.5,1.3862944,1
,,68.897636,68.897636,3.7777777,10.5,10.5,1.3291359,0
4,,66.929123,68.110237,3.5135136,10.5,8.5,1.2566166,1
3,49.999981,,69.291336,8,10.5,9.5,2.0794415,0
,47.007847,66.141708,67.716537,5.909091,,,1.776492,0
4,54.015739,64.960617,66.535431,7.8571429,11.5,19,2.0614231,1
4,47.992119,68.110222,70.078743,7.0434785,10.5,9.5,1.9521022,0
3,49.999981,66.141708,69.685036,5.6999998,9.5,9.5,1.7404661,0
5,47.992119,67.716507,71.653542,3.8399999,9.5,9.5,1.3454723,0
4,50.984219,68.503929,72.440948,7.4769235,9.5,9.5,2.0118215,0
5,52.007839,68.110222,70.472443,4.7948718,9.5,9.5,1.567547,0
6,,67.3228,70.472443,8.0526314,10.5,10.5,2.085999,0
3,,,68.897636,4.53125,,,1.5109979,0
3,,67.3228,67.716537,4.9283338,9.5,9.5,1.595001,0
3,47.992119,,66.141731,4.875,,,1.5841202,0
3,49.015743,70.078728,70.472443,9.666667,13.5,12.5,2.2686837,0
3,57.007874,75.98423,78.346458,7.4000001,9.5,9.5,2.0014801,0
3,49.999981,70.078728,70.866142,12.355556,9.5,9.5,2.5141058,0
3,52.007839,,68.897636,11,,,2.3978953,0
5,49.999981,66.141708,68.110237,5.7142859,9.5,13.5,1.7429693,0
6,47.992119,64.173195,64.566933,7.5300002,9.5,9.5,2.0188951,1
5,49.999981,69.291313,72.834648,9.375,10.5,9.5,2.2380466,0
